Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,52.0,1.0,52.0,52.0,0.1,29.207000000000026,0.0,0.0,0.005415439605712891,,,,,,,,,,,,,,,,,,,,,9.318564353244595,9.70568004604767,28.779965805276028,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,122.0,2.0,70.0,122.0,0.1,33.31599999999999,0.0,0.0,6.426500558853149,,,,,,,,,,,,,,,,,,,,,8.924026253779184,10.762676078846834,32.75679900344334,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,149.0,3.0,27.0,149.0,0.1,13.104999999999995,0.0,0.0,9.302234888076782,,,,,,,,,,,,,,,,,,,,,4.120980938334013,4.5148125662423935,13.019760014934839,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,187.0,4.0,38.0,187.0,0.1,21.206000000000017,0.0,0.0,12.950426816940308,,,,,,,,,,,,,,,,,,,,,6.985558219758537,7.183456127723816,20.982492790737865,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,275.0,5.0,88.0,275.0,0.1,42.90600000000001,0.0,0.0,20.834497690200806,,,,,,,,,,,,,,,,,,,,,20.336048075028636,11.87322899205526,41.19878413889112,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,340.0,6.0,65.0,340.0,0.1,31.10700000000004,0.0,0.0,26.76159906387329,,,,,,,,,,,,,,,,,,,,,11.096463039921545,8.798048832737011,30.446592641094657,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,374.0,7.0,34.0,374.0,0.1,13.407999999999992,0.0,0.0,30.280791997909546,,,,,,,,,,,,,,,,,,,,,3.5982984374522204,4.376882385294759,13.312269079015579,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,441.0,8.0,67.0,441.0,0.1,50.705999999999996,0.0,0.0,36.36828804016113,,,,,,,,,,,,,,,,,,,,,20.108688561951542,16.598553454095327,49.45758357591751,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,474.0,9.0,33.0,474.0,0.1,14.706999999999994,0.0,0.0,39.55548453330994,,,,,,,,,,,,,,,,,,,,,4.316739257708045,4.888544450274704,14.593720451678541,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,505.0,10.0,31.0,505.0,0.1,15.105999999999995,0.0,0.0,42.64951729774475,,,,,,,,,,,,,,,,,,,,,4.703659290040802,5.1161336370202966,14.99015187560808,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,530.0,11.0,25.0,530.0,0.1,11.104999999999995,0.0,0.0,45.204298973083496,,,,,,,,,,,,,,,,,,,,,3.3695994026065437,3.8119517992495395,11.042834641382962,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,560.0,12.0,30.0,560.0,0.1,13.706999999999994,0.0,0.0,48.336429595947266,,,,,,,,,,,,,,,,,,,,,3.9857171487439085,4.690565083406667,13.61464415921195,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,665.0,13.0,105.0,665.0,0.1,66.30699999999999,0.0,0.0,57.58156943321228,,,,,,,,,,,,,,,,,,,,,28.094328630264698,19.877060849815088,63.48400000984188,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
