Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,70.0,1.0,70.0,70.0,0.1,54.105,0.0,0.0,0.005396366119384766,,,,,,,,,,,,,,,,,,,,,18.68273215533513,14.207721747293975,41.860103551949166,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,110.0,2.0,40.0,110.0,0.1,14.91099999999999,0.0,0.0,3.812499523162842,,,,,,,,,,,,,,,,,,,,,3.615723356071348,4.429306648804303,13.738098824172488,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,187.0,3.0,77.0,187.0,0.1,35.30500000000003,0.0,0.0,11.003432750701904,,,,,,,,,,,,,,,,,,,,,10.689269718194565,7.481641608312126,27.62397950922373,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,218.0,4.0,31.0,218.0,0.1,12.406999999999993,0.0,0.0,14.18160367012024,,,,,,,,,,,,,,,,,,,,,3.2101711238006008,3.8982396606762664,11.643553669647801,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,323.0,5.0,105.0,323.0,0.1,56.30600000000003,0.0,0.0,23.519764184951782,,,,,,,,,,,,,,,,,,,,,15.965700592212482,11.242100942936311,40.344877439217264,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,347.0,6.0,24.0,347.0,0.1,10.005999999999995,0.0,0.0,25.960395574569702,,,,,,,,,,,,,,,,,,,,,2.827276653555836,3.294741543093204,9.516838693140084,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,379.0,7.0,32.0,379.0,0.1,10.310999999999991,0.0,0.0,29.32701015472412,,,,,,,,,,,,,,,,,,,,,2.2956586707423745,3.166243426354633,9.770828716827301,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,477.0,8.0,98.0,477.0,0.1,50.507999999999996,0.0,0.0,38.079758167266846,,,,,,,,,,,,,,,,,,,,,15.91201254434013,11.620272368121565,35.62312795280753,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,521.0,9.0,44.0,521.0,0.1,24.70900000000002,0.0,0.0,42.218045473098755,,,,,,,,,,,,,,,,,,,,,7.328880369872267,7.626013016384136,21.920510802220377,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,549.0,10.0,28.0,549.0,0.1,14.105999999999995,0.0,0.0,45.046919107437134,,,,,,,,,,,,,,,,,,,,,4.223274968969071,4.658818942706584,13.18588206171682,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,636.0,11.0,87.0,636.0,0.1,21.116000000000092,0.0,0.0,52.84527921676636,,,,,,,,,,,,,,,,,,,,,4.068747715141299,4.415129208264125,17.933057328667548,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,728.0,12.0,92.0,728.0,0.1,54.909000000000006,0.0,0.0,61.313966274261475,,,,,,,,,,,,,,,,,,,,,15.42621200351221,14.269586325866003,41.54360264949368,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,779.0,13.0,51.0,779.0,0.1,29.106000000000023,0.0,0.0,66.05074191093445,,,,,,,,,,,,,,,,,,,,,8.665737967631896,8.567524934649464,25.187709046533747,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,809.0,14.0,30.0,809.0,0.1,10.905999999999993,0.0,0.0,69.04320049285889,,,,,,,,,,,,,,,,,,,,,2.8840245340267447,3.3307771873314924,10.244661401685516,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,837.0,15.0,28.0,837.0,0.1,11.306999999999993,0.0,0.0,71.87552666664124,,,,,,,,,,,,,,,,,,,,,2.9450188198738196,3.656979925920903,10.695229803525484,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,1078.0,16.0,241.0,1078.0,0.1,118.10699999999989,0.0,0.0,92.95254135131836,,,,,,,,,,,,,,,,,,,,,30.620716516601156,12.673142179741074,47.633245240120935,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,1183.0,17.0,105.0,1183.0,0.1,66.90599999999998,0.0,0.0,102.22113704681396,,,,,,,,,,,,,,,,,,,,,19.716944851287373,14.651747746168711,47.14132017768415,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,1256.0,18.0,73.0,1256.0,0.1,36.407000000000004,0.0,0.0,108.83299207687378,,,,,,,,,,,,,,,,,,,,,10.22090079538847,9.244604665670341,29.533458238308757,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1294.0,19.0,38.0,1294.0,0.1,13.50699999999999,0.0,0.0,112.46181297302246,,,,,,,,,,,,,,,,,,,,,3.227680734688623,3.956942480976296,12.529824835035523,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1322.0,20.0,28.0,1322.0,0.1,10.804999999999994,0.0,0.0,115.29027915000916,,,,,,,,,,,,,,,,,,,,,3.0124156021987782,3.3478135933763036,10.1637829113196,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,125.0,1.0,125.0,1447.0,0.1,51.509,0.0,0.0,247.18787908554077,,,,,,,,,,,,,,,,,,,,,16.16646853788272,11.100493588812808,31.93644967620303,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,208.0,2.0,83.0,1530.0,0.1,36.70500000000003,0.0,0.0,254.81740546226501,,,,,,,,,,,,,,,,,,,,,11.840036611196204,7.254514209530206,27.423497207129007,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,304.0,3.0,96.0,1626.0,0.1,50.50700000000001,0.0,0.0,263.61769366264343,,,,,,,,,,,,,,,,,,,,,15.500843466364751,10.64864615856773,36.3495462425159,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,344.0,4.0,40.0,1666.0,0.1,22.805000000000017,0.0,0.0,267.70601773262024,,,,,,,,,,,,,,,,,,,,,7.099593576990076,6.987670607452091,20.370536240387683,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,379.0,5.0,35.0,1701.0,0.1,19.206000000000017,0.0,0.0,271.20977902412415,,,,,,,,,,,,,,,,,,,,,5.882669818855813,6.1010389803631915,17.49522045036268,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,414.0,6.0,35.0,1736.0,0.1,19.106000000000016,0.0,0.0,274.668169260025,,,,,,,,,,,,,,,,,,,,,5.8941723423829595,6.011829151196693,17.38908242033054,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,478.0,7.0,64.0,1800.0,0.1,29.508000000000017,0.0,0.0,280.65502429008484,,,,,,,,,,,,,,,,,,,,,9.558016221463621,7.332723049862429,23.86579901873612,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,514.0,8.0,36.0,1836.0,0.1,19.80600000000002,0.0,0.0,284.2556130886078,,,,,,,,,,,,,,,,,,,,,6.021530015808337,6.286896416869151,17.996377098570548,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,561.0,9.0,47.0,1883.0,0.1,24.40700000000003,0.0,0.0,288.9174780845642,,,,,,,,,,,,,,,,,,,,,6.786689310431049,7.404714003005524,21.64805226415407,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,616.0,10.0,55.0,1938.0,0.1,30.50600000000002,0.0,0.0,294.077748298645,,,,,,,,,,,,,,,,,,,,,9.7114559194514,8.547586179744238,25.675644571269984,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,707.0,11.0,91.0,2029.0,0.1,67.207,0.0,0.0,302.44274282455444,,,,,,,,,,,,,,,,,,,,,21.268334754627183,16.53478235080365,48.8244213583198,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,730.0,12.0,23.0,2052.0,0.1,10.005999999999995,0.0,0.0,304.83495450019836,,,,,,,,,,,,,,,,,,,,,2.853037925371885,3.3747523187015656,9.53964011546216,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,770.0,13.0,40.0,2092.0,0.1,20.210000000000022,0.0,0.0,309.0429735183716,,,,,,,,,,,,,,,,,,,,,5.628970969362575,6.349233264093417,18.323040110452975,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,807.0,14.0,37.0,2129.0,0.1,20.706000000000017,0.0,0.0,312.7419607639313,,,,,,,,,,,,,,,,,,,,,6.386071224943235,6.498750514571091,18.715593966708497,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,849.0,15.0,42.0,2171.0,0.1,17.508000000000024,0.0,0.0,316.86522102355957,,,,,,,,,,,,,,,,,,,,,4.664620012154553,5.1182092358317375,15.864564426992228,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,883.0,16.0,34.0,2205.0,0.1,17.706000000000017,0.0,0.0,320.278470993042,,,,,,,,,,,,,,,,,,,,,5.298413646142301,5.610310381110916,16.227465932365693,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,947.0,17.0,64.0,2269.0,0.1,44.105999999999995,0.0,0.0,326.2453362941742,,,,,,,,,,,,,,,,,,,,,15.131659407445792,11.529337966357986,35.12063868914875,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,975.0,18.0,28.0,2297.0,0.1,10.207999999999993,0.0,0.0,329.3090958595276,,,,,,,,,,,,,,,,,,,,,2.552564249159988,3.241932454402022,9.686034088598307,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,1018.0,19.0,43.0,2340.0,0.1,25.10900000000002,0.0,0.0,333.4899251461029,,,,,,,,,,,,,,,,,,,,,7.670195707741888,7.798099956852395,22.253663754383204,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1085.0,20.0,67.0,2407.0,0.1,49.306,0.0,0.0,339.75385642051697,,,,,,,,,,,,,,,,,,,,,16.73119412854732,13.415115688871532,38.869605074863046,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,202.0,1.0,202.0,2609.0,0.1,116.2049999999999,0.0,0.0,455.66030383110046,,,,,,,,,,,,,,,,,,,,,30.116104455231874,15.908922459109766,56.494713805154134,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,264.0,2.0,62.0,2671.0,0.1,34.406,0.0,0.0,461.6733455657959,,,,,,,,,,,,,,,,,,,,,11.178575238953051,8.930599525489914,28.03314289546893,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,369.0,3.0,105.0,2776.0,0.1,79.30799999999996,0.0,0.0,471.228928565979,,,,,,,,,,,,,,,,,,,,,24.36447105681973,18.96141691822701,54.81614670986559,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
